Mostres_ESP32,Valor1_mV, Valor2_mV
454,124, 513
455,125, 516
456,123, 524
457,117, 519
458,127, 516
459,128, 519
460,124, 521
461,128, 518
462,130, 524
463,123, 524
464,130, 523
465,131, 524
466,128, 526
467,131, 538
468,138, 529
469,129, 530
470,139, 531
471,140, 535
472,139, 535
473,128, 535
474,140, 537
475,142, 558
476,133, 540
477,137, 533
478,145, 541
479,136, 542
480,145, 546
481,139, 543
482,142, 529
483,137, 546
484,142, 558
485,135, 547
486,141, 546
487,138, 545
488,143, 543
489,138, 543
490,137, 543
491,139, 541
492,139, 540
493,138, 538
494,128, 540
495,135, 535
496,133, 535
497,125, 532
498,126, 529
499,124, 527
500,130, 529
501,127, 527
502,122, 529
503,112, 522
504,124, 515
505,123, 526
506,121, 519
507,122, 518
508,121, 521
509,121, 517
510,115, 512
511,122, 524
512,110, 519
513,126, 513
514,127, 515
515,117, 512
516,126, 518
517,124, 517
518,121, 517
519,125, 515
520,127, 521
521,126, 517
522,128, 529
523,130, 518
524,122, 524
525,130, 524
526,133, 517
527,124, 529
528,134, 529
529,129, 529
530,139, 533
531,140, 539
532,134, 530
533,141, 536
534,137, 535
535,136, 535
536,136, 540
537,141, 540
538,143, 539
539,133, 540
540,139, 549
541,149, 545
542,141, 543
543,139, 523
544,134, 545
545,142, 554
546,149, 543
547,141, 547
548,137, 547
549,141, 541
550,142, 542
551,139, 541
552,132, 540
553,137, 538
554,133, 540
555,137, 537
556,135, 533
557,133, 535
558,132, 533
559,133, 529
560,126, 529
561,131, 529
562,130, 529
563,121, 524
564,127, 527
565,124, 521
566,120, 518
567,124, 522
568,121, 518
569,126, 519
570,116, 523
571,111, 517
572,119, 513
573,122, 517
574,120, 519
575,127, 523
576,126, 517
577,127, 518
578,121, 519
579,124, 517
580,126, 522
581,127, 521
582,130, 518
583,122, 519
584,130, 519
585,127, 524
586,122, 524
587,127, 527
588,132, 523
589,131, 530
590,136, 529
591,131, 530
592,134, 512
593,131, 535
594,139, 536
595,141, 538
596,134, 536
597,135, 517
598,139, 537
599,142, 545
600,145, 541
601,147, 542
602,144, 529
603,137, 541
604,143, 548
605,139, 547
606,145, 552
607,142, 547
608,142, 543
609,138, 546
610,142, 547
611,139, 545
612,138, 540
613,137, 527
614,138, 541
615,130, 537
616,135, 537
617,134, 533
618,132, 533
619,120, 529
620,131, 527
621,126, 529
622,130, 535
623,130, 525
624,121, 525
625,127, 523
626,127, 524
627,121, 521
628,121, 519
629,122, 500
630,124, 517
631,115, 517
632,105, 519
633,125, 522
634,129, 519
635,125, 517
636,123, 513
637,125, 521
638,123, 515
639,124, 516
640,117, 508
641,124, 515
642,125, 518
643,128, 521
644,125, 523
645,128, 508
646,122, 524
647,126, 524
648,132, 524
649,131, 532
650,139, 527
651,133, 526
652,130, 529
653,131, 510
654,133, 535
655,140, 540
656,141, 537
657,137, 535
658,140, 532
659,139, 540
660,142, 542
661,139, 540
662,145, 543
663,143, 543
664,145, 540
665,144, 545
666,139, 546
667,145, 546
668,140, 546
669,143, 547
670,144, 548
671,144, 547
672,141, 546
673,133, 540
674,128, 545
675,139, 540
676,128, 535
677,134, 552
678,139, 537
679,133, 517
680,125, 533
681,130, 524
682,131, 533
683,128, 529
684,129, 529
685,120, 524
686,126, 527
687,122, 527
688,123, 524
689,121, 519
690,126, 519
691,126, 517
692,123, 517
693,118, 518
694,123, 519
695,122, 515
696,119, 517
697,119, 514
698,123, 519
699,121, 517
700,127, 507
701,119, 538
702,127, 517
703,126, 515
704,123, 519
705,129, 519
706,128, 517
707,131, 523
708,123, 519
709,126, 524
710,133, 529
