Mostres_ESP32,Valor1_mV, Valor2_mV
1,108, 0
2,115, 0
3,129, 0
4,133, 0
5,138, 12
6,141, 0
7,133, 0
8,123, 0
9,111, 0
10,108, 1
11,116, 1
12,111, 0
13,123, 0
14,122, 0
15,129, 0
16,115, 0
17,117, 0
18,100, 0
19,121, 0
20,115, 0
21,121, 0
22,111, 0
23,111, 12
24,100, 9
25,99, 0
26,104, 0
27,111, 0
28,89, 0
29,107, 0
30,88, 0
31,78, 0
32,79, 0
33,91, 42
34,93, 80
35,101, 0
36,93, 0
37,89, 0
38,81, 0
39,72, 0
40,63, 1
41,60, 0
42,59, 12
43,54, 0
44,61, 0
45,69, 0
46,58, 9
47,65, 0
48,63, 12
49,73, 6
50,79, 0
51,83, 0
52,74, 0
53,84, 0
54,89, 0
55,89, 0
56,89, 0
57,91, 19
58,100, 22
59,108, 1
60,108, 17
61,105, 0
62,108, 0
63,113, 0
64,128, 0
65,133, 0
66,135, 12
67,149, 0
68,135, 0
69,126, 0
70,132, 0
71,110, 0
72,119, 0
73,111, 0
74,116, 0
75,115, 0
76,115, 0
77,111, 0
78,122, 0
79,118, 0
80,118, 0
81,116, 13
82,135, 0
83,115, 0
84,115, 0
85,109, 0
86,96, 0
87,101, 0
88,89, 24
89,91, 0
90,89, 0
91,88, 26
92,85, 29
93,89, 70
94,85, 39
95,90, 107
96,103, 91
97,92, 127
98,87, 41
99,77, 0
100,76, 19
101,63, 0
102,60, 0
103,64, 0
104,63, 0
105,64, 0
106,76, 13
107,67, 0
108,89, 0
109,74, 0
110,84, 0
111,81, 0
112,74, 0
113,77, 0
114,89, 0
115,85, 0
116,104, 0
117,86, 0
118,96, 0
119,103, 6
120,102, 0
121,107, 0
122,106, 0
123,111, 0
124,113, 0
125,127, 6
126,142, 0
127,127, 11
128,135, 37
129,132, 6
130,128, 0
131,145, 0
132,108, 0
133,115, 9
134,117, 0
135,120, 0
136,121, 0
137,118, 0
138,115, 0
139,113, 0
140,112, 0
141,113, 0
142,108, 0
143,109, 0
144,108, 0
145,100, 0
146,101, 0
147,103, 0
148,97, 0
149,88, 0
150,89, 0
151,110, 0
152,91, 0
153,80, 0
154,80, 13
155,89, 55
156,83, 100
157,91, 31
158,95, 13
159,89, 2
160,80, 0
161,75, 0
162,61, 0
163,64, 0
164,58, 0
165,63, 6
166,59, 6
167,57, 0
168,68, 0
169,63, 0
170,70, 0
171,68, 2
172,78, 0
173,92, 0
174,78, 12
175,86, 0
176,87, 0
177,89, 0
178,93, 3
179,96, 0
180,102, 5
181,100, 0
182,107, 1
183,101, 7
184,99, 0
185,109, 0
186,121, 0
187,138, 0
188,138, 7
189,137, 0
190,134, 0
191,129, 0
192,113, 0
193,117, 0
194,118, 0
195,121, 0
196,121, 0
197,111, 0
198,115, 4
199,115, 0
200,112, 0
201,112, 0
202,115, 0
203,113, 0
204,106, 0
205,106, 0
206,109, 0
207,102, 0
208,96, 0
209,96, 0
210,93, 0
211,91, 0
212,89, 0
213,96, 0
214,78, 0
215,79, 9
216,84, 70
217,89, 38
218,112, 63
219,92, 18
220,91, 14
221,75, 0
222,69, 0
223,57, 4
224,69, 15
225,67, 34
226,68, 0
227,67, 4
228,72, 6
229,58, 0
230,67, 6
231,64, 0
232,70, 0
233,77, 0
234,93, 0
235,78, 0
236,78, 0
237,77, 0
238,91, 0
239,94, 5
240,92, 0
241,95, 0
242,107, 0
243,109, 0
244,108, 6
245,110, 28
246,111, 72
247,125, 31
248,135, 129
249,139, 86
250,136, 10
251,129, 15
252,127, 0
253,108, 0
254,127, 0
255,118, 0
256,130, 0
257,133, 0
258,126, 0
259,117, 0
260,115, 0
261,117, 0
262,103, 0
263,110, 0
264,109, 0
265,110, 0
266,110, 0
267,107, 0
268,101, 0
269,95, 0
270,102, 0
271,95, 21
272,93, 0
273,93, 0
274,91, 0
275,85, 38
276,88, 14
277,76, 0
278,83, 7
279,97, 0
280,90, 0
281,87, 12
282,63, 0
283,71, 2
284,63, 0
285,68, 0
286,56, 9
287,59, 0
288,76, 0
289,72, 0
290,64, 0
291,76, 0
292,68, 0
293,77, 0
294,79, 6
295,83, 6
296,74, 0
297,83, 1
298,92, 0
299,84, 0
300,107, 0
301,88, 15
302,94, 12
303,106, 1
304,102, 0
305,102, 0
306,115, 12
307,121, 55
308,126, 63
309,137, 1
310,145, 10
311,149, 2
312,137, 14
313,133, 0
314,122, 0
315,116, 0
316,117, 0
317,121, 0
318,121, 0
319,121, 0
320,118, 0
321,113, 0
322,116, 6
323,112, 0
324,112, 0
325,111, 0
326,119, 0
327,132, 0
328,100, 0
329,104, 0
330,106, 0
331,96, 0
332,102, 0
333,95, 4
334,93, 0
335,89, 0
336,86, 5
337,80, 43
338,75, 0
339,87, 18
340,105, 38
341,92, 51
342,81, 63
343,77, 97
344,63, 24
345,61, 0
346,61, 0
347,58, 12
348,52, 6
349,61, 0
350,70, 0
351,65, 0
352,88, 0
353,68, 0
354,78, 0
355,80, 0
356,80, 0
357,89, 0
358,86, 0
359,92, 0
360,91, 0
361,92, 11
362,94, 19
363,101, 27
364,101, 26
365,106, 0
366,109, 0
367,110, 0
368,120, 50
369,132, 106
370,148, 77
371,132, 1
372,138, 27
373,133, 15
374,123, 0
375,115, 10
376,109, 0
377,118, 0
378,117, 0
379,120, 3
380,115, 0
381,115, 0
382,115, 0
383,116, 0
384,102, 0
385,112, 0
386,113, 0
387,123, 0
388,102, 0
389,110, 0
390,99, 0
391,100, 0
392,99, 0
393,94, 0
394,95, 0
395,91, 0
396,84, 0
397,78, 0
398,77, 8
399,88, 0
400,101, 37
401,89, 0
402,95, 2
403,90, 0
404,73, 7
405,65, 0
406,64, 0
407,57, 0
408,57, 0
409,59, 0
410,58, 0
411,61, 0
412,78, 3
413,83, 0
414,72, 0
415,75, 0
416,99, 0
417,73, 0
418,83, 0
419,89, 0
420,80, 0
421,78, 0
422,90, 0
423,99, 12
424,93, 40
425,121, 0
426,100, 0
427,101, 2
428,116, 14
429,115, 0
430,133, 13
431,143, 19
432,134, 7
433,158, 0
434,143, 64
435,127, 0
436,128, 0
437,115, 0
438,118, 0
439,112, 0
440,117, 0
441,127, 0
442,113, 0
443,115, 0
444,117, 0
445,109, 0
446,115, 0
447,108, 0
448,107, 0
449,109, 0
450,106, 0
451,97, 0
452,106, 0
453,96, 0
454,102, 0
455,93, 0
456,92, 0
457,81, 0
458,81, 14
459,86, 44
460,85, 105
461,96, 44
462,83, 103
463,92, 51
464,89, 50
465,76, 39
466,62, 10
467,63, 0
468,63, 0
469,56, 10
470,70, 1
471,63, 0
472,63, 0
473,71, 0
474,69, 0
475,85, 0
476,75, 0
477,81, 0
478,73, 0
479,74, 0
480,92, 0
481,89, 0
482,91, 0
483,92, 0
484,94, 0
485,93, 2
486,102, 0
487,106, 7
488,103, 0
489,109, 0
490,124, 0
491,121, 0
492,139, 26
493,131, 2
494,142, 14
495,135, 0
496,117, 0
497,100, 0
498,111, 0
499,115, 0
500,104, 0
501,133, 0
502,126, 0
503,118, 0
504,107, 0
505,119, 0
506,105, 0
507,110, 0
508,108, 0
509,111, 1
510,115, 0
511,117, 0
512,97, 0
513,102, 0
514,97, 0
515,94, 5
516,92, 0
517,92, 0
518,85, 7
519,83, 19
520,84, 55
521,87, 77
522,99, 57
523,88, 6
524,93, 0
525,88, 0
526,83, 0
527,70, 0
528,57, 7
529,57, 0
530,54, 8
531,57, 0
532,63, 0
533,60, 0
534,59, 0
535,63, 0
536,72, 0
537,73, 0
538,83, 0
539,72, 0
540,85, 0
541,96, 0
542,104, 0
543,81, 0
544,93, 0
545,96, 0
546,102, 6
547,104, 0
548,111, 2
549,115, 8
550,110, 9
551,121, 0
552,131, 0
553,141, 6
554,129, 0
555,132, 24
556,135, 11
557,121, 0
558,127, 0
559,121, 0
560,122, 0
561,123, 0
562,125, 0
563,118, 0
564,121, 0
565,121, 0
566,121, 0
567,111, 0
568,111, 6
569,108, 0
570,104, 0
571,106, 0
572,107, 0
573,97, 0
574,101, 0
575,96, 0
576,102, 12
577,94, 36
578,91, 17
579,87, 0
580,83, 0
581,80, 13
582,89, 45
583,94, 38
584,93, 32
585,95, 71
586,102, 19
587,79, 6
588,64, 6
589,65, 0
590,60, 0
591,61, 0
592,61, 0
593,61, 0
594,60, 0
595,62, 0
596,63, 0
597,69, 0
598,80, 0
599,97, 0
600,76, 0
601,86, 0
602,76, 0
603,91, 0
604,81, 0
605,93, 0
606,95, 0
607,105, 19
608,125, 0
609,108, 6
610,102, 29
611,108, 0
612,120, 1
613,122, 0
614,138, 0
615,140, 0
616,132, 0
617,137, 0
618,115, 0
619,108, 0
620,119, 0
621,121, 0
622,123, 0
623,123, 0
624,126, 0
625,123, 0
626,118, 0
627,111, 0
628,110, 0
629,105, 0
630,113, 0
631,96, 0
632,107, 0
633,105, 0
634,101, 0
635,100, 0
636,102, 0
637,95, 0
638,97, 0
639,95, 6
640,87, 20
641,83, 7
642,90, 2
643,83, 12
644,103, 93
645,90, 57
646,94, 65
647,83, 126
648,77, 7
649,65, 53
650,60, 31
651,75, 20
652,56, 0
653,61, 0
654,58, 6
655,63, 1
656,62, 0
657,63, 19
658,58, 0
659,75, 0
660,83, 0
661,78, 0
662,76, 0
663,94, 0
664,92, 0
665,89, 0
666,94, 0
667,101, 0
668,102, 0
669,103, 0
670,109, 0
671,103, 8
672,110, 0
673,119, 29
674,123, 12
675,139, 22
676,135, 0
677,139, 0
678,119, 0
679,138, 0
680,115, 0
681,115, 6
682,120, 0
683,108, 0
684,122, 0
685,109, 0
686,120, 0
687,120, 0
688,111, 0
689,107, 0
690,109, 0
691,107, 0
692,107, 0
693,107, 12
694,107, 0
695,102, 0
696,102, 0
697,97, 0
698,96, 0
699,94, 0
700,91, 0
701,78, 0
702,84, 0
703,80, 0
704,99, 0
705,93, 43
706,93, 80
707,92, 0
708,108, 11
709,76, 13
710,73, 0
711,61, 10
712,57, 0
713,54, 17
714,61, 2
715,64, 0
716,61, 1
717,65, 5
718,70, 0
719,72, 0
720,74, 0
721,75, 0
722,79, 0
723,83, 0
724,86, 0
725,87, 0
726,78, 0
727,95, 0
728,95, 0
729,105, 0
730,99, 0
731,101, 0
732,102, 0
733,107, 19
734,120, 30
735,133, 130
736,142, 10
737,138, 11
738,142, 0
739,147, 0
740,124, 0
741,124, 0
742,124, 0
743,125, 0
744,123, 0
745,128, 0
746,127, 5
747,126, 0
748,108, 0
749,115, 0
750,116, 0
751,110, 0
752,116, 0
753,95, 0
754,107, 0
755,105, 0
756,107, 0
757,101, 0
758,101, 0
759,89, 0
760,91, 0
761,87, 0
762,83, 0
763,79, 0
764,87, 0
765,93, 29
766,92, 20
767,102, 54
768,108, 18
769,94, 26
770,79, 0
771,68, 0
772,63, 0
773,57, 0
774,70, 5
775,63, 0
776,61, 0
777,72, 6
778,56, 0
779,73, 0
780,74, 0
781,90, 0
782,78, 0
783,76, 1
784,89, 0
785,89, 0
786,95, 6
787,97, 0
788,95, 0
789,93, 6
790,102, 0
791,108, 0
792,100, 2
793,115, 10
794,108, 23
795,121, 6
796,133, 21
797,116, 0
798,137, 21
799,133, 10
800,131, 12
801,119, 0
802,111, 0
803,108, 0
804,117, 0
805,115, 0
806,124, 0
807,110, 0
808,113, 0
809,118, 0
810,116, 2
811,113, 0
812,112, 0
813,109, 0
814,107, 0
815,110, 0
816,107, 0
817,100, 0
818,102, 0
819,95, 0
820,93, 22
821,80, 0
822,78, 0
823,92, 0
824,79, 0
825,85, 38
826,87, 15
827,95, 18
828,88, 26
829,88, 0
830,78, 0
831,80, 0
832,70, 0
833,67, 0
834,69, 0
835,71, 7
836,65, 0
837,64, 0
838,62, 0
839,72, 0
840,72, 0
841,64, 0
842,73, 0
843,71, 4
844,73, 0
845,80, 0
846,83, 0
847,84, 0
848,92, 1
849,91, 2
850,102, 11
851,105, 11
852,111, 0
853,116, 0
854,119, 0
855,118, 0
856,126, 0
857,132, 6
858,144, 4
859,145, 1
860,133, 1
861,133, 0
862,120, 3
863,120, 0
864,124, 0
865,102, 0
866,105, 0
867,117, 0
868,113, 0
869,117, 0
870,115, 0
871,119, 0
872,115, 0
873,115, 0
874,107, 0
875,95, 0
876,113, 0
877,102, 0
878,92, 0
879,95, 0
880,95, 0
881,92, 0
882,89, 0
883,89, 0
884,91, 0
885,79, 21
886,88, 35
887,88, 168
888,95, 151
889,90, 0
890,89, 22
891,90, 6
892,79, 1
893,69, 2
894,60, 0
895,59, 1
896,57, 6
897,65, 0
898,63, 19
899,63, 5
900,65, 0
901,72, 0
902,68, 4
903,79, 4
904,76, 0
905,83, 0
906,88, 0
907,87, 0
908,88, 21
909,95, 0
910,102, 0
911,100, 18
912,108, 28
913,95, 0
914,108, 0
915,108, 0
916,115, 0
917,128, 0
918,138, 0
919,124, 0
920,140, 9
921,143, 51
922,128, 43
923,126, 2
924,126, 6
925,127, 0
926,120, 0
927,118, 0
928,117, 0
929,110, 0
930,113, 0
931,115, 0
932,115, 0
933,113, 0
934,112, 0
935,121, 0
936,121, 0
937,113, 0
938,107, 0
939,97, 0
940,97, 0
941,88, 0
942,93, 0
943,88, 0
944,91, 0
945,73, 5
946,76, 32
947,95, 19
948,89, 113
949,102, 45
950,92, 13
951,92, 18
952,84, 0
953,75, 0
954,55, 0
955,67, 0
956,53, 3
957,52, 0
958,67, 0
959,64, 10
960,67, 3
961,63, 0
962,65, 14
963,75, 0
964,77, 0
965,83, 0
966,83, 0
967,85, 12
968,79, 0
969,83, 5
970,89, 0
971,90, 0
972,97, 9
973,92, 0
974,105, 0
975,103, 0
976,104, 0
977,118, 6
978,134, 0
979,123, 30
980,128, 0
981,153, 3
982,153, 0
983,129, 0
984,119, 0
985,118, 0
986,118, 0
987,117, 0
988,120, 0
989,126, 0
990,119, 0
991,108, 0
992,118, 0
993,113, 0
994,120, 0
995,115, 0
996,115, 0
997,109, 0
998,113, 0
999,106, 0
1000,95, 0
1001,108, 0
1002,97, 0
1003,95, 0
1004,101, 0
1005,90, 0
1006,80, 0
1007,72, 0
1008,83, 29
1009,89, 39
1010,100, 8
1011,83, 0
1012,91, 77
1013,84, 48
1014,79, 63
1015,61, 21
1016,63, 12
1017,72, 43
1018,73, 0
1019,63, 0
1020,63, 0
1021,67, 8
1022,92, 0
1023,80, 0
1024,71, 0
1025,83, 0
1026,80, 0
1027,89, 0
1028,90, 0
1029,80, 0
1030,91, 0
1031,95, 0
1032,83, 3
1033,101, 0
1034,95, 0
1035,93, 0
1036,109, 1
1037,136, 12
1038,108, 1
1039,110, 6
1040,135, 12
1041,133, 9
1042,144, 0
1043,132, 6
1044,133, 12
1045,122, 0
1046,125, 0
1047,113, 0
1048,121, 0
1049,121, 0
1050,122, 0
1051,124, 0
1052,118, 0
1053,115, 0
1054,111, 0
1055,112, 0
1056,108, 0
1057,108, 0
1058,106, 0
1059,108, 0
1060,103, 0
1061,100, 0
1062,92, 0
1063,92, 0
1064,96, 28
1065,89, 4
1066,87, 0
1067,83, 0
1068,87, 43
1069,77, 65
1070,91, 112
1071,94, 145
1072,83, 50
1073,95, 70
1074,76, 1
1075,89, 20
1076,63, 0
1077,59, 0
1078,55, 0
1079,60, 0
1080,63, 12
1081,60, 0
1082,73, 0
1083,74, 0
1084,68, 0
1085,65, 0
1086,74, 0
1087,76, 0
1088,72, 0
1089,87, 0
1090,90, 0
1091,84, 0
1092,89, 0
1093,91, 0
1094,95, 0
1095,102, 0
1096,106, 0
1097,107, 19
1098,106, 15
1099,115, 0
1100,124, 0
1101,127, 19
1102,127, 3
1103,139, 17
1104,141, 0
1105,129, 4
1106,119, 0
1107,133, 0
1108,126, 0
1109,126, 0
1110,126, 0
1111,120, 0
1112,121, 0
1113,118, 0
1114,112, 0
1115,103, 0
1116,112, 0
1117,108, 0
1118,105, 0
1119,117, 0
1120,103, 0
1121,101, 2
1122,99, 0
1123,94, 0
1124,92, 0
1125,96, 13
1126,84, 0
1127,83, 0
1128,79, 0
1129,76, 0
1130,78, 0
1131,94, 0
1132,95, 5
1133,104, 0
1134,86, 0
1135,89, 0
1136,92, 0
1137,73, 0
1138,59, 0
1139,56, 0
1140,70, 0
1141,70, 0
1142,67, 0
1143,70, 0
1144,83, 0
1145,83, 0
1146,76, 0
1147,73, 0
1148,79, 0
1149,87, 6
1150,83, 0
1151,88, 0
1152,85, 0
1153,106, 0
1154,89, 13
1155,92, 0
1156,102, 0
1157,102, 0
1158,112, 21
1159,102, 34
1160,118, 6
1161,113, 6
1162,133, 37
1163,127, 3
1164,138, 0
1165,138, 9
1166,128, 0
1167,120, 0
1168,115, 0
1169,113, 0
1170,121, 0
1171,122, 0
1172,127, 0
1173,123, 0
1174,121, 0
1175,115, 0
1176,109, 0
1177,110, 0
1178,100, 0
1179,100, 0
1180,112, 0
1181,108, 0
1182,102, 0
1183,94, 0
1184,86, 0
1185,90, 0
1186,92, 0
1187,93, 0
1188,76, 0
1189,80, 7
1190,78, 14
1191,80, 0
1192,92, 0
1193,102, 25
1194,92, 0
1195,91, 0
1196,85, 153
1197,65, 108
1198,63, 45
1199,63, 19
1200,63, 0
1201,64, 0
1202,62, 0
1203,62, 0
1204,73, 6
1205,55, 0
1206,77, 0
1207,71, 0
1208,92, 0
1209,84, 0
1210,78, 0
1211,81, 0
1212,76, 0
1213,93, 0
1214,101, 0
1215,95, 4
1216,93, 10
1217,120, 0
1218,104, 0
1219,110, 0
1220,102, 8
1221,110, 26
1222,132, 44
1223,133, 92
1224,139, 148
1225,140, 139
1226,133, 148
1227,137, 46
1228,121, 2
1229,111, 0
1230,120, 0
1231,126, 0
1232,118, 0
1233,115, 0
1234,118, 0
1235,108, 0
1236,110, 10
1237,111, 0
1238,105, 12
1239,102, 0
1240,104, 13
1241,104, 0
1242,107, 0
1243,110, 0
1244,102, 0
1245,101, 0
1246,99, 0
1247,93, 0
1248,84, 0
1249,89, 4
1250,77, 0
1251,77, 0
1252,81, 0
1253,88, 1
1254,93, 0
1255,92, 0
1256,92, 2
1257,102, 50
1258,68, 9
1259,68, 23
1260,57, 0
1261,59, 0
1262,59, 0
1263,52, 0
1264,62, 0
1265,69, 0
1266,62, 0
1267,67, 0
1268,71, 0
1269,72, 0
1270,80, 0
1271,77, 0
1272,84, 0
1273,80, 0
1274,89, 0
1275,85, 0
1276,102, 23
1277,101, 50
1278,100, 13
1279,96, 25
1280,108, 2
1281,115, 5
1282,120, 30
1283,134, 15
1284,141, 17
1285,137, 2
1286,145, 46
1287,135, 2
1288,127, 0
1289,121, 0
1290,121, 0
1291,121, 3
1292,115, 0
1293,122, 0
1294,127, 11
1295,116, 0
1296,102, 0
1297,113, 0
1298,108, 0
1299,113, 1
1300,105, 0
1301,108, 2
1302,109, 0
1303,106, 0
1304,97, 0
1305,97, 0
1306,94, 0
1307,95, 0
1308,102, 0
1309,89, 0
1310,85, 0
1311,83, 8
1312,75, 113
1313,92, 0
1314,87, 10
1315,89, 0
1316,95, 59
1317,101, 12
1318,83, 0
1319,81, 0
1320,70, 0
1321,70, 0
1322,62, 0
1323,61, 0
1324,67, 0
1325,68, 0
1326,63, 0
1327,67, 0
1328,51, 9
1329,70, 1
1330,71, 0
1331,77, 0
1332,83, 0
1333,93, 0
1334,86, 0
1335,88, 10
1336,91, 26
1337,93, 6
1338,102, 123
1339,107, 11
1340,109, 0
1341,124, 0
1342,127, 0
1343,126, 0
1344,133, 0
1345,133, 0
1346,134, 3
1347,139, 14
1348,145, 85
1349,135, 6
1350,131, 0
1351,120, 0
1352,112, 0
1353,115, 0
1354,120, 0
1355,116, 0
1356,112, 0
1357,113, 0
1358,111, 3
1359,133, 0
1360,110, 0
1361,111, 4
1362,111, 0
1363,107, 0
1364,113, 0
1365,100, 0
1366,103, 0
1367,101, 0
1368,97, 0
1369,102, 0
1370,102, 0
1371,85, 0
1372,89, 31
1373,85, 0
1374,95, 88
1375,92, 85
1376,97, 97
1377,97, 88
1378,92, 14
1379,89, 0
1380,70, 6
1381,69, 0
1382,61, 0
1383,57, 8
1384,60, 3
1385,65, 0
1386,63, 0
1387,58, 0
1388,68, 0
1389,70, 0
1390,76, 0
1391,79, 0
1392,75, 0
1393,88, 0
1394,108, 0
1395,84, 0
1396,102, 0
1397,88, 0
1398,96, 0
1399,100, 2
1400,99, 0
1401,103, 2
1402,102, 0
1403,107, 0
1404,113, 0
1405,122, 24
1406,136, 0
1407,152, 6
1408,145, 0
1409,133, 13
1410,130, 32
1411,121, 0
1412,104, 0
1413,121, 0
1414,120, 0
1415,118, 0
1416,115, 0
1417,123, 0
1418,121, 0
1419,115, 0
1420,112, 0
1421,108, 0
1422,106, 4
1423,108, 0
1424,113, 0
1425,104, 0
1426,101, 0
1427,101, 0
1428,92, 0
1429,92, 11
1430,95, 3
1431,78, 0
1432,86, 0
1433,83, 0
1434,78, 0
1435,81, 1
1436,86, 4
1437,92, 23
1438,92, 0
1439,89, 24
1440,76, 0
1441,64, 12
1442,57, 0
1443,63, 0
1444,70, 0
1445,53, 5
1446,67, 4
1447,61, 22
1448,70, 7
1449,68, 0
1450,77, 6
1451,77, 0
1452,65, 0
1453,92, 0
1454,85, 12
1455,89, 0
1456,91, 0
1457,100, 0
1458,89, 0
1459,95, 1
1460,91, 0
1461,90, 23
1462,107, 0
1463,107, 0
1464,108, 0
1465,115, 0
1466,127, 0
1467,125, 6
1468,128, 8
1469,140, 87
1470,133, 156
1471,133, 0
1472,121, 0
1473,122, 0
1474,121, 0
1475,121, 0
1476,125, 0
1477,115, 0
1478,104, 0
1479,113, 0
1480,109, 0
1481,121, 0
1482,115, 0
1483,107, 0
1484,109, 0
1485,106, 0
1486,99, 0
1487,100, 0
1488,91, 0
1489,96, 0
1490,94, 0
1491,101, 6
1492,95, 0
1493,80, 0
1494,78, 0
1495,59, 11
1496,83, 0
1497,93, 115
1498,94, 43
1499,90, 19
1500,89, 45
1501,79, 7
1502,78, 104
1503,64, 32
1504,51, 6
1505,55, 0
1506,62, 0
1507,63, 0
1508,56, 0
1509,81, 0
1510,75, 0
1511,73, 0
1512,81, 0
1513,69, 0
1514,80, 0
1515,83, 0
1516,102, 0
1517,89, 0
1518,89, 0
1519,92, 0
1520,102, 0
1521,102, 0
1522,90, 15
1523,102, 0
1524,108, 34
1525,106, 0
1526,105, 0
1527,127, 0
1528,137, 0
1529,144, 8
1530,149, 7
1531,136, 44
1532,124, 0
1533,110, 0
1534,108, 0
1535,117, 0
1536,120, 0
1537,117, 0
1538,108, 0
1539,121, 0
1540,109, 0
1541,116, 0
1542,116, 0
1543,110, 0
1544,104, 0
1545,109, 0
1546,104, 0
1547,102, 0
1548,92, 0
1549,94, 0
1550,101, 0
1551,99, 0
1552,95, 0
1553,89, 0
1554,86, 1
1555,84, 0
1556,76, 26
1557,110, 1
1558,87, 0
1559,95, 18
1560,106, 0
1561,91, 6
1562,85, 0
1563,61, 0
1564,70, 0
1565,59, 0
1566,51, 0
1567,62, 0
1568,62, 0
1569,71, 0
1570,70, 0
1571,64, 0
1572,71, 0
1573,65, 0
1574,78, 0
1575,75, 0
1576,70, 0
1577,108, 0
1578,84, 0
1579,88, 0
1580,93, 2
1581,94, 0
1582,95, 0
1583,105, 0
1584,112, 0
1585,108, 32
1586,107, 22
1587,115, 0
1588,128, 0
1589,139, 0
1590,140, 9
1591,144, 2
1592,141, 18
1593,123, 0
1594,123, 0
1595,108, 0
1596,113, 0
1597,124, 0
1598,111, 0
1599,117, 1
1600,123, 0
1601,117, 0
1602,115, 0
1603,115, 0
1604,113, 0
1605,109, 0
1606,108, 4
1607,108, 0
1608,100, 0
1609,105, 15
1610,108, 0
1611,96, 4
1612,96, 0
1613,97, 3
1614,88, 0
1615,87, 0
1616,81, 0
1617,73, 19
1618,87, 72
1619,94, 29
1620,89, 5
1621,77, 25
1622,92, 20
1623,80, 0
1624,67, 0
1625,59, 0
1626,76, 6
1627,48, 0
1628,59, 0
1629,84, 0
1630,70, 0
1631,59, 0
1632,62, 0
1633,75, 0
1634,86, 0
1635,67, 0
1636,83, 0
1637,76, 0
1638,70, 0
1639,95, 0
1640,91, 0
1641,89, 0
1642,95, 2
1643,99, 3
1644,99, 0
1645,104, 6
1646,102, 26
1647,115, 3
1648,108, 24
1649,133, 0
1650,132, 43
1651,142, 21
1652,141, 44
1653,137, 99
1654,123, 19
1655,126, 1
1656,120, 0
1657,116, 0
1658,123, 0
1659,122, 0
1660,121, 0
1661,109, 0
1662,118, 0
1663,113, 0
1664,118, 0
1665,112, 0
1666,108, 0
1667,115, 0
1668,108, 0
1669,113, 0
1670,102, 0
1671,96, 0
1672,94, 0
1673,92, 0
1674,93, 0
1675,91, 0
1676,86, 0
1677,89, 0
1678,70, 6
1679,92, 0
1680,105, 0
1681,92, 0
1682,89, 0
1683,93, 4
1684,88, 0
1685,76, 12
1686,63, 7
1687,65, 12
1688,57, 10
1689,59, 0
1690,83, 10
1691,63, 13
1692,64, 10
1693,64, 7
1694,77, 0
1695,75, 0
1696,78, 1
1697,76, 1
1698,95, 22
1699,89, 0
1700,90, 0
1701,95, 0
1702,88, 0
1703,104, 13
1704,101, 15
1705,103, 0
1706,101, 0
1707,102, 1
1708,103, 9
1709,110, 19
1710,125, 42
1711,128, 15
1712,136, 0
1713,134, 0
1714,129, 0
1715,121, 0
1716,107, 0
1717,116, 0
1718,111, 0
1719,121, 0
1720,121, 0
1721,121, 0
1722,121, 0
1723,116, 0
1724,110, 0
1725,110, 19
1726,104, 0
1727,111, 0
1728,105, 0
1729,121, 0
1730,115, 0
1731,100, 0
1732,108, 0
1733,89, 1
1734,97, 0
1735,85, 0
1736,86, 0
1737,80, 0
1738,78, 23
1739,76, 6
1740,83, 0
1741,91, 0
1742,94, 7
1743,86, 2
1744,77, 13
1745,72, 0
1746,71, 0
1747,63, 15
1748,65, 0
1749,61, 0
1750,60, 0
1751,59, 11
1752,58, 30
1753,60, 0
1754,60, 0
1755,72, 0
1756,70, 0
1757,76, 0
1758,80, 14
1759,84, 0
1760,89, 0
1761,81, 0
1762,87, 0
1763,92, 3
1764,100, 25
1765,88, 12
1766,95, 0
1767,97, 0
1768,104, 1
1769,99, 0
1770,118, 32
1771,127, 81
1772,115, 106
1773,136, 72
1774,142, 76
1775,135, 0
1776,126, 0
1777,118, 0
